mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
76	76	1/4	1/4	2/2	2	1	iv/iv				iv/iv	iv				iv				m	-2, -5, -1		-2	-2
76	76	1/2	1/2	2/2	2	1	V2/iv				V2/iv	V		2		iv				Mm7	-2, 0, 4, 1		0	-2
76	76	3/4	3/4	2/2	2	1	iv6				iv6	iv		6						m	-4, 0, -1		-1	-4
77	77	0	0	2/2	2	1	V(64)				V(64)	V			64					M	1, 0, -3		1	1
77	77	1/2	1/2	2/2	2	1	V65/V				V65/V	V		65		V				Mm7	6, 3, 0, 2		2	6
77	77	3/4	3/4	2/2	2	1	#viio7/V				#viio7/V	#vii	o	7		V				o7	6, 3, 0, -3		6	6
78	78	0	0	2/2	2	1	V				V	V								M	1, 5, 2		1	1
78	78	1/4	1/4	2/2	2	1	vio7				vio7	vi	o	7						o7	-4, -7, -10, -13		-4	-4
78	78	1/2	1/2	2/2	2	1	V/V				V/V	V				V				M	2, 6, 3		2	2
78	78	3/4	3/4	2/2	2	1	#viio7				#viio7	#vii	o	7						o7	5, 2, -1, -4		5	5
78	78	5/6	5/6	2/2	2	1	V6				V6	V		6						M	5, 2, 1		1	5
78	78	11/12	11/12	2/2	2	1	V65				V65	V		65						Mm7	5, 2, -1, 1		1	5
79	79	0	0	2/2	2	1	i(94)				i(94)	i			94					m	0, -1, 1	2	0	0
79	79	1/2	1/2	2/2	2	1	i(9)				i(9)	i			9					m	0, -3, 1	2	0	0
80	80	0	0	2/2	2	1	V6				V6	V		6						M	5, 2, 1		1	5
80	80	1/4	1/4	2/2	2	1	V43				V43	V		43						Mm7	2, -1, 1, 5		1	2
80	80	1/2	1/2	2/2	2	1	V43				V43	V		43						Mm7	2, -1, 1, 5		1	2
80	80	3/4	3/4	2/2	2	1	V2				V2	V		2						Mm7	-1, 1, 5, 2		1	-1
80	80	11/12	11/12	2/2	2	1	V43				V43	V		43						Mm7	2, -1, 1, 5		1	2
81	81	0	0	2/2	2	1	i\\				i	i							\\	m	0, -3, 1		0	0
81	81	3/4	3/4	2/2	2	1	i2				i2	i		2						mm7	-2, 0, -3, 1		0	-2
82	82	0	0	2/2	2	1	VI				VI	VI								M	-4, 0, -3		-4	-4
82	82	1/2	1/2	2/2	2	1	i6				i6	i		6						m	-3, 1, 0		0	-3
83	83	0	0	2/2	2	1	iv				iv	iv								m	-1, -4, 0		-1	-1
83	83	1/8	1/8	2/2	2	1	V2				V2	V		2						Mm7	-1, 1, 5, 2		1	-1
83	83	1/4	1/4	2/2	2	1	i6				i6	i		6						m	-3, 1, 0		0	-3
83	83	1/2	1/2	2/2	2	1	ii				ii	ii								m	2, -1, 3		2	2
83	83	3/4	3/4	2/2	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
84	84	0	0	2/2	2	1	i(7#4)				i(7#4)	i			7#4					m	0, -3, 6	-2	0	0
84	84	1/4	1/4	2/2	2	1	i\\				i	i							\\	m	0, -3, 1		0	0
84	84	1/2	1/2	2/2	2	1	i				i	i								m	0, -3, 1		0	0
85	85	0	0	2/2	2	1	i				i	i								m	0, -3, 1		0	0
85	85	1/4	1/4	2/2	2	1	i6				i6	i		6						m	-3, 1, 0		0	-3
85	85	1/2	1/2	2/2	2	1	iv				iv	iv								m	-1, -4, 0		-1	-1
85	85	3/4	3/4	2/2	2	1	V				V	V								M	1, 5, 2		1	1
85	85	15/16	15/16	2/2	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
86	86	0	0	2/2	2	1	i\\				i	i							\\	m	0, -3, 1		0	0
86	86	1/4	1/4	2/2	2	1	V.IV		V		IV	IV								M	-1, 3, 0		-1	-1
86	86	11/24	11/24	2/2	2	1	vi6				vi6	vi		6						m	-7, -3, -4		-4	-7
86	86	1/2	1/2	2/2	2	1	V6(9)				V6(9)	V		6	9					M	5, 2, 1	-4	1	5
86	86	7/12	7/12	2/2	2	1	V				V	V								M	1, 5, 2		1	1
86	86	3/4	3/4	2/2	2	1	V6				V6	V		6						M	5, 2, 1		1	5
86	86	15/16	15/16	2/2	2	1	V43				V43	V		43						Mm7	2, -1, 1, 5		1	2
87	87	0	0	2/2	2	1	I(9)				I(9)	I			9					M	0, 4, 1	2	0	0
87	87	1/4	1/4	2/2	2	1	I				I	I								M	0, 4, 1		0	0
87	87	5/12	5/12	2/2	2	1	IV.vi6		IV		vi6	vi		6						m	0, 4, 3		3	0
87	87	1/2	1/2	2/2	2	1	V6(9)				V6(9)	V		6	9					M	5, 2, 1	-4	1	5
87	87	3/4	3/4	2/2	2	1	V6				V6	V		6						M	5, 2, 1		1	5
87	87	11/12	11/12	2/2	2	1	V43				V43	V		43						Mm7	2, -1, 1, 5		1	2
88	88	0	0	2/2	2	1	I(9)				I(9)	I			9					M	0, 4, 1	2	0	0
88	88	1/12	1/12	2/2	2	1	vi				vi	vi								m	-4, -7, -3		-4	-4
88	88	1/4	1/4	2/2	2	1	I				I	I								M	0, 4, 1		0	0
88	88	7/16	7/16	2/2	2	1	I.IV6		I		IV6	IV		6						M	3, 0, -1		-1	3
88	88	1/2	1/2	2/2	2	1	V65				V65	V		65						Mm7	5, 2, -1, 1		1	5
88	88	3/4	3/4	2/2	2	1	I6				I6	I		6						M	4, 1, 0		0	4
89	89	0	0	2/2	2	1	IV65				IV65	IV		65						Mm7	3, 0, -3, -1		-1	3
89	89	1/4	1/4	2/2	2	1	ii(9)				ii(9)	ii			9					m	2, -1, 3	-3	2	2
89	89	7/16	7/16	2/2	2	1	ii6				ii6	ii		6						m	-1, 3, 2		2	-1
89	89	1/2	1/2	2/2	2	1	V65				V65	V		65						Mm7	5, 2, -1, 1		1	5
89	89	3/4	3/4	2/2	2	1	I(9)				I(9)	I			9					M	0, 4, 1	2	0	0
89	89	11/12	11/12	2/2	2	1	I				I	I								M	0, 4, 1		0	0
90	90	0	0	2/2	2	1	V(64)				V(64)	V			64					M	1, 0, -3		1	1
90	90	1/4	1/4	2/2	2	1	V\\				V	V							\\	M	1, 5, 2		1	1
90	90	1/2	1/2	2/2	2	1	V2				V2	V		2						Mm7	-1, 1, 5, 2		1	-1
90	90	15/16	15/16	2/2	2	1	V43				V43	V		43						Mm7	2, -1, 1, 5		1	2
91	91	0	0	2/2	2	1	I				I	I								M	0, 4, 1		0	0
91	91	1/4	1/4	2/2	2	1	V65/IV				V65/IV	V		65		IV				Mm7	4, 1, -2, 0		0	4
91	91	5/12	5/12	2/2	2	1	V+6				V+6	V	+	6						+	5, 9, 1		1	5
91	91	1/2	1/2	2/2	2	1	IV(#2)				IV(#2)	IV			#2					M	-1, 8, 0		-1	-1
91	91	2/3	2/3	2/2	2	1	IV+(#2)				IV+(#2)	IV	+		#2					+	-1, 8, 7		-1	-1
91	91	3/4	3/4	2/2	2	1	ii6(#4)				ii6(#4)	ii		6	#4					m	-1, 8, 2		2	-1
91	91	11/12	11/12	2/2	2	1	ii6				ii6	ii		6						m	-1, 3, 2		2	-1
92	92	0	0	2/2	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
92	92	1/4	1/4	2/2	2	1	V65/vi				V65/vi	V		65		vi				Mm7	1, -2, -5, -3		-3	1
92	92	5/12	5/12	2/2	2	1	V65/vi				V65/vi	V		65		vi				Mm7	1, -2, -5, -3		-3	1
92	92	1/2	1/2	2/2	2	1	vi(9)				vi(9)	vi			9					m	-4, -7, -3	-2	-4	-4
92	92	3/4	3/4	2/2	2	1	IV6(4)				IV6(4)	IV		6	4					M	-2, 0, -1		-1	-2
92	92	11/12	11/12	2/2	2	1	IV6				IV6	IV		6						M	3, 0, -1		-1	3
93	93	0	0	2/2	2	1	V6				V6	V		6						M	5, 2, 1		1	5
93	93	1/4	1/4	2/2	2	1	V65				V65	V		65						Mm7	5, 2, -1, 1		1	5
93	93	5/12	5/12	2/2	2	1	V6				V6	V		6						M	5, 2, 1		1	5
93	93	1/2	1/2	2/2	2	1	viio65				viio65	vii	o	65						o7	-5, -8, -11, -2		-2	-5
93	93	3/4	3/4	2/2	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
93	93	11/12	11/12	2/2	2	1	V				V	V								M	1, 5, 2		1	1
94	94	0	0	2/2	2	1	I				I	I								M	0, 4, 1		0	0
94	94	1/4	1/4	2/2	2	1	I6				I6	I		6						M	4, 1, 0		0	4
94	94	1/2	1/2	2/2	2	1	I6				I6	I		6						M	4, 1, 0		0	4
94	94	3/4	3/4	2/2	2	1	I2				I2	I		2						Mm7	-2, 0, 4, 1		0	-2
94	94	5/6	5/6	2/2	2	1	vi				vi	vi								m	-4, -7, -3		-4	-4
94	94	11/12	11/12	2/2	2	1	vi2				vi2	vi		2						mm7	-6, -4, -7, -3		-4	-6
95	95	0	0	2/2	2	1	#vii%7/V				#vii%7/V	#vii	%	7		V				%7	6, 3, 0, 4		6	6
96	96	0	0	2/2	2	1	#vii%7/V				#vii%7/V	#vii	%	7		V				%7	6, 3, 0, 4		6	6
96	96	1/4	1/4	2/2	2	1	#viio7/V				#viio7/V	#vii	o	7		V				o7	6, 3, 0, -3		6	6
97	97	0	0	2/2	2	1	#viio7/V				#viio7/V	#vii	o	7		V				o7	6, 3, 0, -3		6	6
97	97	3/4	3/4	2/2	2	1	V6/V				V6/V	V		6		V				M	6, 3, 2		2	6
98	98	0	0	2/2	2	1	viio/V				viio/V	vii	o			V				o	6, 3, 0		6	6
98	98	1/2	1/2	2/2	2	1	V				V	V								M	1, 5, 2		1	1
98	98	3/4	3/4	2/2	2	1	V(94)				V(94)	V			94					M	1, 0, 2	-4	1	1
99	99	0	0	2/2	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
99	99	1/2	1/2	2/2	2	1	ii7/IV				ii7/IV	ii		7		IV				mm7	1, -2, 2, -1		1	1
99	99	15/16	15/16	2/2	2	1	#viio6/IV				#viio6/IV	#vii	o	6		IV				o	1, -2, 4		4	1
100	100	0	0	2/2	2	1	#vii%43/IV				#vii%43/IV	#vii	%	43		IV				%7	-2, 2, 4, 1		4	-2
100	100	1/4	1/4	2/2	2	1	IV6				IV6	IV		6						M	3, 0, -1		-1	3
100	100	3/4	3/4	2/2	2	1	V7/IV				V7/IV	V		7		IV				Mm7	0, 4, 1, -2		0	0
101	101	0	0	2/2	2	1	IV				IV	IV								M	-1, 3, 0		-1	-1
101	101	1/4	1/4	2/2	2	1	IV6				IV6	IV		6						M	3, 0, -1		-1	3
101	101	1/2	1/2	2/2	2	1	IV6				IV6	IV		6						M	3, 0, -1		-1	3
101	101	3/4	3/4	2/2	2	1	IV2				IV2	IV		2						Mm7	-3, -1, 3, 0		-1	-3
101	101	5/6	5/6	2/2	2	1	ii				ii	ii								m	2, -1, 3		2	2
101	101	11/12	11/12	2/2	2	1	ii2				ii2	ii		2						mm7	0, 2, -1, 3		2	0
102	102	0	0	2/2	2	1	vii%7				vii%7	vii	%	7						%7	-2, -5, -8, -4		-2	-2
103	103	1/4	1/4	2/2	2	1	viio7				viio7	vii	o	7						o7	-2, -5, -8, -11		-2	-2
104	104	3/4	3/4	2/2	2	1	viio				viio	vii	o							o	-2, -5, -8		-2	-2
105	105	0	0	2/2	2	1	I				I	I								M	0, 4, 1		0	0
105	105	1/4	1/4	2/2	2	1	I6				I6	I		6						M	4, 1, 0		0	4
105	105	3/8	3/8	2/2	2	1	V+6/IV				V+6/IV	V	+	6		IV				+	4, 8, 0		0	4
105	105	1/2	1/2	2/2	2	1	IV(#2)				IV(#2)	IV			#2					M	-1, 8, 0		-1	-1
105	105	5/8	5/8	2/2	2	1	IV				IV	IV								M	-1, 3, 0		-1	-1
105	105	3/4	3/4	2/2	2	1	V6/V				V6/V	V		6		V				M	6, 3, 2		2	6
106	106	0	0	2/2	2	1	V(4)				V(4)	V			4					M	1, 0, 2		1	1
106	106	1/2	1/2	2/2	2	1	V\\				V	V							\\	M	1, 5, 2		1	1
106	106	3/4	3/4	2/2	2	1	I6				I6	I		6						M	4, 1, 0		0	4
106	106	11/12	11/12	2/2	2	1	V+6/IV				V+6/IV	V	+	6		IV				+	4, 8, 0		0	4
107	107	0	0	2/2	2	1	IV(#2)				IV(#2)	IV			#2					M	-1, 8, 0		-1	-1
107	107	1/8	1/8	2/2	2	1	IV				IV	IV								M	-1, 3, 0		-1	-1
107	107	1/4	1/4	2/2	2	1	viio/V				viio/V	vii	o			V				o	6, 3, 0		6	6
107	107	1/3	1/3	2/2	2	1	#vii				#vii	#vii								m	5, 2, 6		5	5
107	107	5/12	5/12	2/2	2	1	V6/V				V6/V	V		6		V				M	6, 3, 2		2	6
107	107	1/2	1/2	2/2	2	1	V(2)				V(2)	V			2					M	-4, 5, 2		1	-4
107	107	7/12	7/12	2/2	2	1	V(#2)				V(#2)	V			#2					M	1, 3, 2		1	1
107	107	2/3	2/3	2/2	2	1	V				V	V								M	1, 5, 2		1	1
107	107	3/4	3/4	2/2	2	1	#viio/vi				#viio/vi	#vii	o			vi				o	1, -2, -5		1	1
107	107	11/12	11/12	2/2	2	1	V6/vi				V6/vi	V		6		vi				M	1, -2, -3		-3	1
108	108	0	0	2/2	2	1	vi(2)				vi(2)	vi			2					m	-2, -7, -3		-4	-2
108	108	1/12	1/12	2/2	2	1	vi				vi	vi								m	-4, -7, -3		-4	-4
108	108	1/6	1/6	2/2	2	1	V/ii				V/ii	V				ii				M	3, 7, 4		3	3
108	108	5/12	5/12	2/2	2	1	IV+6				IV+6	IV	+	6						+	3, 7, -1		-1	3
108	108	1/2	1/2	2/2	2	1	viio(#2)				viio(#2)	vii	o		#2					o	-2, 7, -8		-2	-2
108	108	7/12	7/12	2/2	2	1	V6(#7#4)				V6(#7#4)	V		6	#7#4					M	5, 7, 6		1	5
108	108	2/3	2/3	2/2	2	1	V6(#4)				V6(#4)	V		6	#4					M	5, 7, 1		1	5
108	108	5/6	5/6	2/2	2	1	V6				V6	V		6						M	5, 2, 1		1	5
108	108	11/12	11/12	2/2	2	1	V+6				V+6	V	+	6						+	5, 9, 1		1	5
109	109	0	0	2/2	2	1	I				I	I								M	0, 4, 1		0	0
109	109	1/4	1/4	2/2	2	1	IV\\				IV	IV							\\	M	-1, 3, 0		-1	-1
109	109	3/4	3/4	2/2	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
110	110	0	0	2/2	2	1	I[I(4)			I	I(4)	I			4					M	0, -1, 1		0	0
110	110	1/12	1/12	2/2	2	1	I				I	I								M	0, 4, 1		0	0
110	110	1/6	1/6	2/2	2	1	V7/IV				V7/IV	V		7		IV				Mm7	0, 4, 1, -2		0	0
110	110	1/4	1/4	2/2	2	1	IV				IV	IV								M	-1, 3, 0		-1	-1
110	110	1/3	1/3	2/2	2	1	ii				ii	ii								m	2, -1, 3		2	2
110	110	5/12	5/12	2/2	2	1	V				V	V								M	1, 5, 2		1	1
110	110	1/2	1/2	2/2	2	1	I]\\				I	I					]		\\	M	0, 4, 1		0	0
